objct_d,cnsttn_,dscrptn,ONSCnID,regn_nm,shp_lng,shape_r,prty_cl,wnnr_19
471,Blackley and Broughton,Westminster Constituency,E14000571,North West Euro Region,106798.752207,823155231.845,#DC241F,Labour
472,Makerfield,Westminster Constituency,E14000805,North West Euro Region,106799.206324,823162232.092,#DC241F,Labour
473,Leigh,Westminster Constituency,E14000785,North West Euro Region,106798.760721,823155363.1,#0087DC,Conservative
474,Worsley and Eccles South,Westminster Constituency,E14001054,North West Euro Region,106799.251736,823162932.117,#DC241F,Labour
475,Warrington North,Westminster Constituency,E14001017,North West Euro Region,106798.581913,823152606.752,#DC241F,Labour
476,Altrincham and Sale West,Westminster Constituency,E14000532,North West Euro Region,106799.234706,823162669.608,#0087DC,Conservative
477,Tatton,Westminster Constituency,E14000987,North West Euro Region,106799.058736,823159957.012,#0087DC,Conservative
478,Congleton,Westminster Constituency,E14000646,North West Euro Region,106798.797618,823155931.87,#0087DC,Conservative
479,South Staffordshire,Westminster Constituency,E14000945,West Midlands Euro Region,106799.004809,823159125.732,#0087DC,Conservative
480,Dudley South,Westminster Constituency,E14000672,West Midlands Euro Region,106798.658544,823153788.044,#0087DC,Conservative
481,Stourbridge,Westminster Constituency,E14000976,West Midlands Euro Region,106798.984942,823158819.472,#0087DC,Conservative
482,Wyre Forest,Westminster Constituency,E14001058,West Midlands Euro Region,106799.030354,823159519.497,#0087DC,Conservative
483,North Herefordshire,Westminster Constituency,E14000847,West Midlands Euro Region,106799.271604,823163238.379,#0087DC,Conservative
484,Tewkesbury,Westminster Constituency,E14000990,South West Euro Region,106798.99346,823158950.726,#0087DC,Conservative
485,Gloucester,Westminster Constituency,E14000712,South West Euro Region,106799.001971,823159081.982,#0087DC,Conservative
486,North Wiltshire,Westminster Constituency,E14000860,South West Euro Region,106799.038868,823159650.752,#0087DC,Conservative
487,Chippenham,Westminster Constituency,E14000635,South West Euro Region,106799.010486,823159213.236,#0087DC,Conservative
488,Devizes,Westminster Constituency,E14000665,South West Euro Region,106799.047383,823159782.006,#0087DC,Conservative
489,Salisbury,Westminster Constituency,E14000912,South West Euro Region,106799.067251,823160088.267,#0087DC,Conservative
490,New Forest West,Westminster Constituency,E14000828,South East Euro Region,106799.050221,823159825.758,#0087DC,Conservative
491,Poole,Westminster Constituency,E14000881,South West Euro Region,106799.030353,823159519.497,#0087DC,Conservative
492,"Caithness, Sutherland and Easter Ross",Westminster Constituency,S14000009,Scotland Euro Region,106799.228959,823162580.912,#FDBB30,Liberal Democrat
493,Perth and North Perthshire,Westminster Constituency,S14000054,Scotland Euro Region,106799.228959,823162580.912,#FFFF00,Scottish National Party
494,Stirling,Westminster Constituency,S14000057,Scotland Euro Region,106799.260179,823163062.181,#FFFF00,Scottish National Party
495,Falkirk,Westminster Constituency,S14000028,Scotland Euro Region,106799.257341,823163018.429,#FFFF00,Scottish National Party
496,Glasgow North,Westminster Constituency,S14000031,Scotland Euro Region,106799.424795,823165599.779,#FFFF00,Scottish National Party
497,Glasgow Central,Westminster Constituency,S14000029,Scotland Euro Region,106799.314105,823163893.463,#FFFF00,Scottish National Party
498,East Dunbartonshire,Westminster Constituency,S14000018,Scotland Euro Region,106798.939463,823158118.238,#FFFF00,Scottish National Party
499,"Coatbridge, Chryston and Bellshill",Westminster Constituency,S14000011,Scotland Euro Region,106799.305591,823163762.208,#FFFF00,Scottish National Party
500,Glasgow East,Westminster Constituency,S14000030,Scotland Euro Region,106798.97636,823158687.011,#FFFF00,Scottish National Party
501,Rutherglen and Hamilton West,Westminster Constituency,S14000056,Scotland Euro Region,106799.436148,823165774.786,#FFFF00,Scottish National Party
502,Dumfries and Galloway,Westminster Constituency,S14000013,Scotland Euro Region,106798.950816,823158293.245,#0087DC,Conservative
503,Wyre and Preston North,Westminster Constituency,E14001057,North West Euro Region,106799.228959,823162580.912,#0087DC,Conservative
504,Blackpool North and Cleveleys,Westminster Constituency,E14000572,North West Euro Region,106799.427633,823165643.531,#0087DC,Conservative
505,Blackpool South,Westminster Constituency,E14000573,North West Euro Region,106799.240312,823162755.919,#0087DC,Conservative
506,Chorley,Westminster Constituency,E14000637,North West Euro Region,106799.231797,823162624.664,#AAAAAA,Speaker
507,Bolton West,Westminster Constituency,E14000580,North West Euro Region,106799.248827,823162887.174,#0087DC,Conservative
508,Knowsley,Westminster Constituency,E14000775,North West Euro Region,106799.220445,823162449.657,#DC241F,Labour
509,St. Helens North,Westminster Constituency,E14000962,North West Euro Region,106799.240312,823162755.918,#DC241F,Labour
510,St. Helens South and Whiston,Westminster Constituency,E14000963,North West Euro Region,106799.228959,823162580.912,#DC241F,Labour
511,Warrington South,Westminster Constituency,E14001018,North West Euro Region,106799.285723,823163455.946,#0087DC,Conservative
512,Weaver Vale,Westminster Constituency,E14001024,North West Euro Region,106799.126785,823161005.85,#DC241F,Labour
513,Eddisbury,Westminster Constituency,E14000686,North West Euro Region,106799.294238,823163587.201,#0087DC,Conservative
514,Crewe and Nantwich,Westminster Constituency,E14000653,North West Euro Region,106798.718084,823154705.606,#0087DC,Conservative
515,Wrexham,Westminster Constituency,W07000044,Wales Euro Region,106799.220445,823162449.657,#0087DC,Conservative
516,Clwyd South,Westminster Constituency,W07000062,Wales Euro Region,106798.718084,823154705.605,#0087DC,Conservative
517,Brecon and Radnorshire,Westminster Constituency,W07000068,Wales Euro Region,106799.248827,823162887.173,#0087DC,Conservative
518,Monmouth,Westminster Constituency,W07000054,Wales Euro Region,106799.240312,823162755.918,#0087DC,Conservative
519,Newport East,Westminster Constituency,W07000055,Wales Euro Region,106799.473044,823166343.559,#DC241F,Labour
520,Newport West,Westminster Constituency,W07000056,Wales Euro Region,106799.228959,823162580.912,#DC241F,Labour
521,Cardiff South and Penarth,Westminster Constituency,W07000080,Wales Euro Region,106799.004742,823159124.528,#DC241F,Labour
522,Forest of Dean,Westminster Constituency,E14000705,South West Euro Region,106799.240312,823162755.919,#0087DC,Conservative
523,Kingswood,Westminster Constituency,E14000774,South West Euro Region,106798.987713,823158862.018,#0087DC,Conservative
524,Bath,Westminster Constituency,E14000547,South West Euro Region,106799.413442,823165424.773,#FDBB30,Liberal Democrat
525,North East Somerset,Westminster Constituency,E14000846,South West Euro Region,106799.10124,823160612.085,#0087DC,Conservative
526,Christchurch,Westminster Constituency,E14000638,South West Euro Region,106799.453177,823166037.297,#0087DC,Conservative
527,Bournemouth West,Westminster Constituency,E14000585,South West Euro Region,106798.709569,823154574.351,#0087DC,Conservative
528,West Dunbartonshire,Westminster Constituency,S14000059,Scotland Euro Region,106799.254049,823162967.774,#FFFF00,Scottish National Party
529,"Cumbernauld, Kilsyth and Kirkintilloch East",Westminster Constituency,S14000012,Scotland Euro Region,106799.075241,823160211.426,#FFFF00,Scottish National Party
530,Glasgow North West,Westminster Constituency,S14000033,Scotland Euro Region,106799.290946,823163536.545,#FFFF00,Scottish National Party
531,Paisley and Renfrewshire North,Westminster Constituency,S14000052,Scotland Euro Region,106799.069566,823160123.923,#FFFF00,Scottish National Party
532,Glasgow South West,Westminster Constituency,S14000035,Scotland Euro Region,106799.086593,823160386.432,#FFFF00,Scottish National Party
533,Glasgow South,Westminster Constituency,S14000034,Scotland Euro Region,106799.069563,823160123.923,#FFFF00,Scottish National Party
534,East Renfrewshire,Westminster Constituency,S14000021,Scotland Euro Region,106799.086593,823160386.432,#FFFF00,Scottish National Party
535,"Dumfriesshire, Clydesdale and Tweeddale",Westminster Constituency,S14000014,Scotland Euro Region,106799.12349,823160955.202,#0087DC,Conservative
536,South Ribble,Westminster Constituency,E14000943,North West Euro Region,106798.777225,823155617.511,#0087DC,Conservative
537,Wigan,Westminster Constituency,E14001039,North West Euro Region,106799.10646,823160692.693,#DC241F,Labour
538,"Liverpool, Walton",Westminster Constituency,E14000794,North West Euro Region,106798.780064,823155661.263,#DC241F,Labour
539,"Liverpool, West Derby",Westminster Constituency,E14000796,North West Euro Region,106799.234181,823162661.514,#DC241F,Labour
540,"Liverpool, Wavertree",Westminster Constituency,E14000795,North West Euro Region,106798.788578,823155792.517,#DC241F,Labour
541,Halton,Westminster Constituency,E14000725,North West Euro Region,106799.279593,823163361.539,#DC241F,Labour
542,Garston and Halewood,Westminster Constituency,E14000708,North West Euro Region,106798.60977,823153036.169,#DC241F,Labour
543,City of Chester,Westminster Constituency,E14000640,North West Euro Region,106799.262563,823163099.03,#DC241F,Labour
544,Delyn,Westminster Constituency,W07000042,Wales Euro Region,106799.086593,823160386.432,#0087DC,Conservative
545,Alyn and Deeside,Westminster Constituency,W07000043,Wales Euro Region,106798.825475,823156361.288,#DC241F,Labour
546,Dwyfor Meirionnydd,Westminster Constituency,W07000061,Wales Euro Region,106799.032666,823159555.152,#008142,Plaid Cymru
547,Montgomeryshire,Westminster Constituency,W07000063,Wales Euro Region,106798.686401,823154217.461,#0087DC,Conservative
548,Ceredigion,Westminster Constituency,W07000064,Wales Euro Region,106799.012799,823159248.892,#008142,Plaid Cymru
549,Torfaen,Westminster Constituency,W07000053,Wales Euro Region,106799.058211,823159948.917,#DC241F,Labour
550,Cynon Valley,Westminster Constituency,W07000070,Wales Euro Region,106799.299461,823163667.801,#DC241F,Labour
551,Caerphilly,Westminster Constituency,W07000076,Wales Euro Region,106799.021317,823159380.146,#DC241F,Labour
552,Cardiff Central,Westminster Constituency,W07000050,Wales Euro Region,106799.029828,823159511.401,#DC241F,Labour
553,North Somerset,Westminster Constituency,E14000850,South West Euro Region,106799.066725,823160080.172,#0087DC,Conservative
554,Stroud,Westminster Constituency,E14000980,South West Euro Region,106799.038343,823159642.656,#0087DC,Conservative
555,Bristol East,Westminster Constituency,E14000599,South West Euro Region,106799.07524,823160211.426,#DC241F,Labour
556,Bristol South,Westminster Constituency,E14000601,South West Euro Region,106799.095108,823160517.687,#DC241F,Labour
557,South West Wiltshire,Westminster Constituency,E14000954,South West Euro Region,106799.078078,823160255.178,#0087DC,Conservative
558,Mid Dorset and North Poole,Westminster Constituency,E14000815,South West Euro Region,106799.05821,823159948.917,#0087DC,Conservative
559,South Dorset,Westminster Constituency,E14000936,South West Euro Region,106799.078078,823160255.177,#0087DC,Conservative
560,"Ross, Skye and Lochaber",Westminster Constituency,S14000055,Scotland Euro Region,106799.122965,823160947.108,#FFFF00,Scottish National Party
561,"Inverness, Nairn, Badenoch and Strathspey",Westminster Constituency,S14000039,Scotland Euro Region,106799.290421,823163528.451,#FFFF00,Scottish National Party
562,Argyll and Bute,Westminster Constituency,S14000005,Scotland Euro Region,106799.179729,823161822.139,#FFFF00,Scottish National Party
